city,distance_to_center_km,rating,num_reviews,room_type,beds_in_room,breakfast_included,wifi,laundry,season,weekend,occupancy_rate,hostel_age_years,kitchen_access,air_conditioning,locker_available,security_24h,female_only_dorm_available,common_area_count,room_area_sqft,bathroom_type,price_per_night
Milan,3.6,4.6,233,private,2,1,1,1,low,1,0.49,14,1,0,1,1,0,1,166,shared,83.4
Lisbon,0.2,3.2,33,private,2,1,1,0,low,0,0.59,8,1,1,1,1,1,3,191,shared,51.14
Budapest,7.5,4.4,233,private,2,1,1,0,shoulder,1,0.68,30,0,1,0,1,0,3,104,shared,36.36
Milan,2.2,3.5,73,private,1,1,1,0,low,1,0.65,1,1,1,0,1,0,1,172,private,98.09
Copenhagen,1.4,2.9,46,dorm,10,0,1,0,shoulder,0,0.69,25,0,0,0,0,1,2,239,private,19.69
Paris,3.3,5.0,261,dorm,8,1,1,1,shoulder,0,0.64,17,1,1,1,1,0,5,167,private,33.97
Berlin,2.0,4.2,266,dorm,12,0,1,1,shoulder,0,0.65,9,1,1,0,0,0,1,234,shared,23.92
Barcelona,4.5,2.7,7,private,2,0,1,0,shoulder,1,0.58,7,0,1,1,0,1,5,162,shared,70.08
Barcelona,4.8,4.2,167,dorm,4,0,1,1,shoulder,0,0.61,14,1,1,1,0,1,1,150,shared,25.88
Paris,7.2,3.6,121,dorm,10,0,1,0,peak,0,0.8,22,0,0,1,0,0,6,144,private,24.25
Dublin,4.1,3.9,46,private,2,0,1,1,low,0,0.49,26,1,0,1,1,0,1,129,private,43.94
Vienna,6.4,3.0,89,private,2,1,1,0,peak,0,0.84,1,1,0,1,1,1,3,144,private,64.48
Vienna,2.7,4.7,261,dorm,10,1,1,1,shoulder,1,0.63,28,1,1,0,0,0,5,142,shared,21.02
Warsaw,0.5,4.8,183,private,1,1,1,0,shoulder,1,0.63,1,1,0,1,1,0,5,121,shared,101.41
Dublin,1.0,4.9,165,private,1,1,1,0,low,0,0.44,29,0,0,0,1,0,3,136,private,66.1
Madrid,3.1,4.5,494,dorm,8,0,1,0,peak,1,0.83,15,0,0,0,1,0,5,150,private,32.09
Stockholm,0.3,4.1,260,dorm,6,1,1,1,low,0,0.51,15,0,0,0,1,1,6,132,shared,33.39
Helsinki,6.9,4.1,123,dorm,12,0,1,1,low,0,0.38,23,0,0,0,0,1,1,143,private,11.3
Berlin,1.7,4.7,338,private,1,1,1,1,low,0,0.42,15,0,1,1,1,0,1,146,shared,58.83
Copenhagen,3.7,3.9,30,private,2,1,1,0,peak,1,0.94,14,0,1,1,1,1,2,140,shared,123.68
Milan,6.4,5.0,273,dorm,8,0,1,0,shoulder,0,0.75,26,0,0,1,1,0,3,207,shared,20.09
Budapest,4.2,3.6,146,private,1,1,1,0,shoulder,0,0.52,30,1,0,0,1,0,3,162,shared,35.43
Berlin,3.0,4.0,134,private,1,1,1,1,shoulder,0,0.58,19,1,1,0,1,0,2,144,shared,64.23
Warsaw,1.0,4.1,184,dorm,12,1,1,0,low,0,0.32,9,0,1,1,1,0,6,132,private,19.16
Paris,4.9,2.5,34,private,2,1,1,0,low,0,0.5,16,0,1,1,0,0,2,168,shared,54.76
Budapest,5.6,4.5,216,dorm,4,0,1,0,low,1,0.42,10,1,1,1,0,0,5,194,private,18.61
Budapest,7.1,4.4,146,dorm,8,1,1,0,shoulder,0,0.76,20,1,0,1,1,0,3,129,private,15.96
Madrid,6.7,4.5,238,private,1,1,1,1,low,0,0.6,4,1,1,1,1,1,6,129,shared,59.76
Oslo,5.7,3.8,87,dorm,8,0,1,0,peak,0,0.75,29,0,0,0,1,0,2,138,shared,29.27
Rome,5.3,2.5,62,private,1,0,1,1,peak,0,0.91,2,1,0,1,0,0,5,143,private,85.11
Brussels,6.3,2.6,89,dorm,4,0,1,1,peak,0,0.8,13,0,0,1,1,0,2,243,shared,28.51
Helsinki,7.3,5.0,441,dorm,12,1,1,0,shoulder,0,0.61,18,1,1,1,1,0,1,157,shared,23.47
