iter	RMSE
0	25.34496577
1	20.93576278
2	17.88688356
3	15.82705788
4	14.25101059
5	13.0384056
6	12.18793638
7	11.51634951
8	10.91776443
9	10.39287626
10	10.12927429
11	9.847647126
12	9.663951599
13	9.385934611
14	9.239116587
15	8.918929923
16	8.749889169
17	8.615905356
18	8.46042402
19	8.336312256
20	8.119701311
21	8.036772449
22	7.765047668
23	7.521490309
24	7.4382039
25	7.307204391
26	7.239970434
27	7.131000155
28	7.034753174
29	6.850262572
30	6.722516403
31	6.560843397
32	6.431211375
33	6.327867104
34	6.263600895
35	6.164635786
36	6.128089419
37	6.082020685
38	5.959016337
39	5.863665778
40	5.794399342
41	5.720491787
42	5.644921386
43	5.579059105
44	5.511304531
45	5.417373534
46	5.318944566
47	5.25996863
48	5.182731604
49	5.115552639
50	5.04970088
51	4.991632985
52	4.929531914
53	4.891563543
54	4.817423416
55	4.751648005
56	4.693320273
57	4.658190482
58	4.606396672
59	4.573651022
60	4.503501249
61	4.445025124
62	4.399223882
63	4.369667034
64	4.325316679
65	4.2724317
66	4.240859773
67	4.204691633
68	4.161031895
69	4.128855337
70	4.095107255
71	4.055074292
72	3.987493856
73	3.958513836
74	3.929007917
75	3.88717788
76	3.84841232
77	3.815147847
78	3.794066763
79	3.757176412
80	3.733239514
81	3.71049988
82	3.674156076
83	3.626908824
84	3.595981606
85	3.566825163
86	3.548640759
87	3.535546879
88	3.490588901
89	3.474897937
90	3.441184677
91	3.419893161
92	3.400193655
93	3.370912543
94	3.345740344
95	3.30935606
96	3.287395232
97	3.256728452
98	3.240553125
99	3.210653213
