iter	Passed	Remaining
0	151	14958
1	159	7839
2	163	5290
3	167	4020
4	170	3232
5	176	2765
6	178	2372
7	180	2078
8	183	1850
9	185	1665
10	190	1543
11	193	1418
12	195	1309
13	197	1213
14	199	1132
15	201	1059
16	207	1014
17	209	955
18	211	902
19	214	857
20	216	813
21	218	774
22	225	753
23	227	719
24	229	689
25	232	660
26	234	633
27	240	617
28	242	593
29	244	570
30	246	549
31	249	529
32	254	517
33	257	498
34	259	481
35	261	464
36	263	448
37	265	433
38	271	425
39	274	411
40	276	398
41	278	385
42	281	372
43	283	360
44	289	353
45	291	342
46	293	331
47	296	321
48	298	310
49	303	303
50	306	294
51	308	284
52	310	275
53	312	266
54	314	257
55	321	252
56	346	261
57	352	255
58	356	247
59	358	239
60	360	230
61	362	222
62	364	214
63	367	206
64	369	199
65	371	191
66	373	184
67	375	176
68	377	169
69	379	162
70	382	156
71	384	149
72	387	143
73	389	136
74	390	130
75	392	124
76	394	117
77	396	111
78	402	107
79	405	101
80	408	95
81	410	90
82	413	84
83	417	79
84	419	74
85	421	68
86	423	63
87	425	58
88	428	52
89	430	47
90	433	42
91	435	37
92	437	32
93	439	28
94	441	23
95	443	18
96	446	13
97	451	9
98	453	4
99	455	0
